Entity,Code,Day,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19
Brazil,BRA,3/17/2020,121,1
Brunei,BRN,3/17/2020,2,
Bulgaria,BGR,3/17/2020,15,0
Burkina Faso,BFA,3/17/2020,0,
Cambodia,KHM,3/17/2020,26,
Cameroon,CMR,3/17/2020,6,
Canada,CAN,3/17/2020,63,2
Central African Republic,CAF,3/17/2020,0,
Chile,CHL,3/17/2020,46,
China,CHN,3/17/2020,18,13
Colombia,COL,3/17/2020,18,
Congo,COG,3/17/2020,0,
Costa Rica,CRI,3/17/2020,6,
Cote d'Ivoire,CIV,3/17/2020,4,
Croatia,HRV,3/17/2020,8,
Cuba,CUB,3/17/2020,1,
Cyprus,CYP,3/17/2020,13,
Czechia,CZE,3/17/2020,98,
Democratic Republic of Congo,COD,3/17/2020,1,
Denmark,DNK,3/17/2020,92,1
Dominican Republic,DOM,3/17/2020,10,1
Ecuador,ECU,3/17/2020,21,0
Egypt,EGY,3/17/2020,46,2
Equatorial Guinea,GNQ,3/17/2020,0,
Estonia,EST,3/17/2020,20,
Eswatini,SWZ,3/17/2020,0,
Ethiopia,ETH,3/17/2020,0,
Europe,,3/17/2020,11547,608
European Union,,3/17/2020,10001,577
Finland,FIN,3/17/2020,44,
France,FRA,3/17/2020,1032,0
Gabon,GAB,3/17/2020,0,
Gambia,GMB,3/17/2020,1,
Georgia,GEO,3/17/2020,1,
Germany,DEU,3/17/2020,1985,7
Ghana,GHA,3/17/2020,1,
Greece,GRC,3/17/2020,56,1
Guatemala,GTM,3/17/2020,4,0
Guinea,GIN,3/17/2020,0,
Guyana,GUY,3/17/2020,3,0
High income,,3/17/2020,13822,654
Honduras,HND,3/17/2020,2,
Hong Kong,HKG,3/17/2020,7,0
Hungary,HUN,3/17/2020,11,0
Iceland,ISL,3/17/2020,40,
India,IND,3/17/2020,23,1
Indonesia,IDN,3/17/2020,38,0
International,,3/17/2020,0,0
Iran,IRN,3/17/2020,1178,135
Iraq,IRQ,3/17/2020,30,1
Ireland,IRL,3/17/2020,54,0
Israel,ISR,3/17/2020,44,
Italy,ITA,3/17/2020,3526,345
Jamaica,JAM,3/17/2020,2,
Japan,JPN,3/17/2020,50,0
Jordan,JOR,3/17/2020,17,
Kazakhstan,KAZ,3/17/2020,23,
Kenya,KEN,3/17/2020,0,
Kosovo,OWID_KOS,3/17/2020,3,
Kuwait,KWT,3/17/2020,7,
Latvia,LVA,3/17/2020,15,
Lebanon,LBN,3/17/2020,10,0
Liberia,LBR,3/17/2020,0,
Liechtenstein,LIE,3/17/2020,3,
Lithuania,LTU,3/17/2020,7,
Low income,,3/17/2020,6,0
Lower middle income,,3/17/2020,284,5
Luxembourg,LUX,3/17/2020,63,0
Malaysia,MYS,3/17/2020,107,2
Maldives,MDV,3/17/2020,0,
Malta,MLT,3/17/2020,8,
Mauritania,MRT,3/17/2020,0,
Mexico,MEX,3/17/2020,11,
Moldova,MDA,3/17/2020,7,
Monaco,MCO,3/17/2020,0,
Mongolia,MNG,3/17/2020,4,
Montenegro,MNE,3/17/2020,2,
Morocco,MAR,3/17/2020,9,1
Namibia,NAM,3/17/2020,0,
Nepal,NPL,3/17/2020,0,
Netherlands,NLD,3/17/2020,295,19
New Zealand,NZL,3/17/2020,4,
Nigeria,NGA,3/17/2020,1,
North America,,3/17/2020,1949,40
North Macedonia,MKD,3/17/2020,8,
Norway,NOR,3/17/2020,130,0
Oceania,,3/17/2020,79,2
Oman,OMN,3/17/2020,2,
Pakistan,PAK,3/17/2020,63,
Palestine,PSE,3/17/2020,1,
Panama,PAN,3/17/2020,14,0
Paraguay,PRY,3/17/2020,1,
Peru,PER,3/17/2020,31,
Philippines,PHL,3/17/2020,45,0
Poland,POL,3/17/2020,61,1
Portugal,PRT,3/17/2020,117,1
Qatar,QAT,3/17/2020,0,
Romania,ROU,3/17/2020,26,
Russia,RUS,3/17/2020,24,
Rwanda,RWA,3/17/2020,2,
Saint Lucia,LCA,3/17/2020,0,
Saint Vincent and the Grenadines,VCT,3/17/2020,0,
San Marino,SMR,3/17/2020,0,0
Saudi Arabia,SAU,3/17/2020,53,
Senegal,SEN,3/17/2020,2,
Serbia,SRB,3/17/2020,10,
Seychelles,SYC,3/17/2020,1,
Singapore,SGP,3/17/2020,23,
Slovakia,SVK,3/17/2020,9,
Slovenia,SVN,3/17/2020,22,0
Somalia,SOM,3/17/2020,0,
South Africa,ZAF,3/17/2020,0,
South America,,3/17/2020,290,1
South Korea,KOR,3/17/2020,84,6
Spain,ESP,3/17/2020,1806,191
Sri Lanka,LKA,3/17/2020,16,
Sudan,SDN,3/17/2020,0,0
Suriname,SUR,3/17/2020,0,
Sweden,SWE,3/17/2020,119,6
Switzerland,CHE,3/17/2020,500,13
Taiwan,TWN,3/17/2020,10,0
Tanzania,TZA,3/17/2020,0,
Thailand,THA,3/17/2020,30,0
Togo,TGO,3/17/2020,0,
Trinidad and Tobago,TTO,3/17/2020,1,
Tunisia,TUN,3/17/2020,4,
Turkey,TUR,3/17/2020,29,1
Ukraine,UKR,3/17/2020,7,1
United Arab Emirates,ARE,3/17/2020,0,
United Kingdom,GBR,3/17/2020,770,17
United States,USA,3/17/2020,1833,37
Upper middle income,,3/17/2020,1831,154
Uruguay,URY,3/17/2020,21,
Uzbekistan,UZB,3/17/2020,4,
Vatican,VAT,3/17/2020,0,
Venezuela,VEN,3/17/2020,16,
Vietnam,VNM,3/17/2020,5,
World,OWID_WRL,3/17/2020,15943,813
World excl. China,,3/17/2020,15925,800
World excl. China and South Korea,,3/17/2020,15841,794
"World excl. China, South Korea, Japan and Singapore",,3/17/2020,15768,794
Afghanistan,AFG,3/18/2020,4,
Africa,,3/18/2020,116,6
Albania,ALB,3/18/2020,4,1
Algeria,DZA,3/18/2020,14,3
Andorra,AND,3/18/2020,0,
Antigua and Barbuda,ATG,3/18/2020,0,
Argentina,ARG,3/18/2020,11,0
Armenia,ARM,3/18/2020,6,
Asia,,3/18/2020,2137,188
Asia excl. China,,3/18/2020,2112,177
Australia,AUS,3/18/2020,116,1
Austria,AUT,3/18/2020,314,1
Azerbaijan,AZE,3/18/2020,0,0
Bahamas,BHS,3/18/2020,0,
Bahrain,BHR,3/18/2020,28,0
Bangladesh,BGD,3/18/2020,4,1
Barbados,BRB,3/18/2020,0,
Belarus,BLR,3/18/2020,15,
Belgium,BEL,3/18/2020,243,4
Benin,BEN,3/18/2020,1,
Bhutan,BTN,3/18/2020,0,
Bolivia,BOL,3/18/2020,1,
Bosnia and Herzegovina,BIH,3/18/2020,12,
Brazil,BRA,3/18/2020,51,2
Brunei,BRN,3/18/2020,12,
Bulgaria,BGR,3/18/2020,25,0
Burkina Faso,BFA,3/18/2020,5,1
Cambodia,KHM,3/18/2020,2,
Cameroon,CMR,3/18/2020,0,
Canada,CAN,3/18/2020,179,5
Central African Republic,CAF,3/18/2020,0,
Chile,CHL,3/18/2020,37,
China,CHN,3/18/2020,25,11
Colombia,COL,3/18/2020,27,
Congo,COG,3/18/2020,0,
Costa Rica,CRI,3/18/2020,9,
Cote d'Ivoire,CIV,3/18/2020,1,
Croatia,HRV,3/18/2020,16,
Cuba,CUB,3/18/2020,2,1
Cyprus,CYP,3/18/2020,3,
Czechia,CZE,3/18/2020,68,
Democratic Republic of Congo,COD,3/18/2020,1,
Denmark,DNK,3/18/2020,91,0
Djibouti,DJI,3/18/2020,1,
Dominican Republic,DOM,3/18/2020,0,0
Ecuador,ECU,3/18/2020,53,0
Egypt,EGY,3/18/2020,0,2
Equatorial Guinea,GNQ,3/18/2020,3,
Estonia,EST,3/18/2020,33,
Eswatini,SWZ,3/18/2020,0,
Ethiopia,ETH,3/18/2020,1,
Europe,,3/18/2020,14047,643
European Union,,3/18/2020,12471,598
Finland,FIN,3/18/2020,15,
France,FRA,3/18/2020,1409,0
Gabon,GAB,3/18/2020,0,
Gambia,GMB,3/18/2020,0,
Georgia,GEO,3/18/2020,4,
Germany,DEU,3/18/2020,3070,4
Ghana,GHA,3/18/2020,0,
Greece,GRC,3/18/2020,31,0
Guatemala,GTM,3/18/2020,0,0
Guinea,GIN,3/18/2020,0,
Guyana,GUY,3/18/2020,0,0
High income,,3/18/2020,17364,712
Honduras,HND,3/18/2020,1,
Hong Kong,HKG,3/18/2020,19,0
Hungary,HUN,3/18/2020,8,0
Iceland,ISL,3/18/2020,30,
India,IND,3/18/2020,14,0
Indonesia,IDN,3/18/2020,55,14
International,,3/18/2020,6,0
Iran,IRN,3/18/2020,1192,147
Iraq,IRQ,3/18/2020,10,1
Ireland,IRL,3/18/2020,69,0
Israel,ISR,3/18/2020,76,
Italy,ITA,3/18/2020,4207,475
Jamaica,JAM,3/18/2020,1,
Japan,JPN,3/18/2020,35,2
Jordan,JOR,3/18/2020,18,
Kazakhstan,KAZ,3/18/2020,2,
Kenya,KEN,3/18/2020,0,
Kosovo,OWID_KOS,3/18/2020,3,
Kuwait,KWT,3/18/2020,12,
Kyrgyzstan,KGZ,3/18/2020,3,
Latvia,LVA,3/18/2020,22,
Lebanon,LBN,3/18/2020,13,0
Liberia,LBR,3/18/2020,1,
Liechtenstein,LIE,3/18/2020,21,
Lithuania,LTU,3/18/2020,8,
Low income,,3/18/2020,13,1
Lower middle income,,3/18/2020,266,16
Luxembourg,LUX,3/18/2020,63,1
Malaysia,MYS,3/18/2020,117,0
Maldives,MDV,3/18/2020,0,
Malta,MLT,3/18/2020,0,
Mauritania,MRT,3/18/2020,0,
Mauritius,MUS,3/18/2020,3,
Mexico,MEX,3/18/2020,25,
Moldova,MDA,3/18/2020,0,1
Monaco,MCO,3/18/2020,0,
Mongolia,MNG,3/18/2020,1,
Montenegro,MNE,3/18/2020,0,
Morocco,MAR,3/18/2020,11,0
Namibia,NAM,3/18/2020,0,
Nepal,NPL,3/18/2020,0,
Netherlands,NLD,3/18/2020,347,15
New Zealand,NZL,3/18/2020,8,
Nigeria,NGA,3/18/2020,5,
North America,,3/18/2020,2893,66
North Macedonia,MKD,3/18/2020,9,
Norway,NOR,3/18/2020,87,3
Oceania,,3/18/2020,124,1
Oman,OMN,3/18/2020,15,
Pakistan,PAK,3/18/2020,155,2
Palestine,PSE,3/18/2020,2,
Panama,PAN,3/18/2020,17,0
Paraguay,PRY,3/18/2020,2,
Peru,PER,3/18/2020,28,
Philippines,PHL,3/18/2020,15,7
Poland,POL,3/18/2020,13,0
Portugal,PRT,3/18/2020,0,1
Qatar,QAT,3/18/2020,13,
Romania,ROU,3/18/2020,76,
Russia,RUS,3/18/2020,33,
Rwanda,RWA,3/18/2020,1,
Saint Lucia,LCA,3/18/2020,0,
Saint Vincent and the Grenadines,VCT,3/18/2020,0,
San Marino,SMR,3/18/2020,10,4
Saudi Arabia,SAU,3/18/2020,0,
Senegal,SEN,3/18/2020,5,
Serbia,SRB,3/18/2020,18,
Seychelles,SYC,3/18/2020,0,
Singapore,SGP,3/18/2020,47,
Slovakia,SVK,3/18/2020,33,
Slovenia,SVN,3/18/2020,0,0
Somalia,SOM,3/18/2020,0,
South Africa,ZAF,3/18/2020,54,
South America,,3/18/2020,242,2
South Korea,KOR,3/18/2020,93,3
Spain,ESP,3/18/2020,2162,90
Sri Lanka,LKA,3/18/2020,7,
Sudan,SDN,3/18/2020,0,0
Suriname,SUR,3/18/2020,0,
Sweden,SWE,3/18/2020,145,7
Switzerland,CHE,3/18/2020,328,1
Taiwan,TWN,3/18/2020,23,0
Tanzania,TZA,3/18/2020,2,
Thailand,THA,3/18/2020,35,0
Togo,TGO,3/18/2020,0,
Trinidad and Tobago,TTO,3/18/2020,2,
Tunisia,TUN,3/18/2020,5,
Turkey,TUR,3/18/2020,51,0
Ukraine,UKR,3/18/2020,0,0
United Arab Emirates,ARE,3/18/2020,15,
United Kingdom,GBR,3/18/2020,1006,35
United States,USA,3/18/2020,2657,60
Upper middle income,,3/18/2020,1916,177
Uruguay,URY,3/18/2020,29,
Uzbekistan,UZB,3/18/2020,5,
Vatican,VAT,3/18/2020,0,
Venezuela,VEN,3/18/2020,3,
Vietnam,VNM,3/18/2020,9,
World,OWID_WRL,3/18/2020,19565,906
World excl. China,,3/18/2020,19540,895
World excl. China and South Korea,,3/18/2020,19447,892
"World excl. China, South Korea, Japan and Singapore",,3/18/2020,19365,890
Zambia,ZMB,3/18/2020,2,
Afghanistan,AFG,3/19/2020,1,
Africa,,3/19/2020,180,3
Albania,ALB,3/19/2020,5,0
Algeria,DZA,3/19/2020,13,2
Andorra,AND,3/19/2020,14,
Antigua and Barbuda,ATG,3/19/2020,0,
Argentina,ARG,3/19/2020,18,1
Armenia,ARM,3/19/2020,31,
Asia,,3/19/2020,2140,175
Asia excl. China,,3/19/2020,2113,167
Australia,AUS,3/19/2020,113,0
Austria,AUT,3/19/2020,367,2
Azerbaijan,AZE,3/19/2020,16,0
Bahamas,BHS,3/19/2020,2,
Bahrain,BHR,3/19/2020,22,0
Bangladesh,BGD,3/19/2020,3,0
Barbados,BRB,3/19/2020,3,
Belarus,BLR,3/19/2020,0,
Belgium,BEL,3/19/2020,309,7
Benin,BEN,3/19/2020,0,
Bhutan,BTN,3/19/2020,0,
Bolivia,BOL,3/19/2020,0,
Bosnia and Herzegovina,BIH,3/19/2020,25,
Brazil,BRA,3/19/2020,249,3
Brunei,BRN,3/19/2020,7,
Bulgaria,BGR,3/19/2020,2,1
Burkina Faso,BFA,3/19/2020,13,0
Cambodia,KHM,3/19/2020,2,
Cameroon,CMR,3/19/2020,3,
Canada,CAN,3/19/2020,143,0
Central African Republic,CAF,3/19/2020,0,
Chad,TCD,3/19/2020,1,
Chile,CHL,3/19/2020,0,
China,CHN,3/19/2020,27,8
Colombia,COL,3/19/2020,6,
Congo,COG,3/19/2020,2,
Costa Rica,CRI,3/19/2020,19,1
Cote d'Ivoire,CIV,3/19/2020,3,
Croatia,HRV,3/19/2020,24,1
Cuba,CUB,3/19/2020,4,0
Cyprus,CYP,3/19/2020,18,
Czechia,CZE,3/19/2020,230,
Democratic Republic of Congo,COD,3/19/2020,10,
Denmark,DNK,3/19/2020,109,2
Djibouti,DJI,3/19/2020,0,
Dominican Republic,DOM,3/19/2020,13,1
Ecuador,ECU,3/19/2020,88,1
Egypt,EGY,3/19/2020,60,0
El Salvador,SLV,3/19/2020,1,
Equatorial Guinea,GNQ,3/19/2020,2,
Estonia,EST,3/19/2020,9,
Eswatini,SWZ,3/19/2020,0,
Ethiopia,ETH,3/19/2020,0,
Europe,,3/19/2020,19377,852
European Union,,3/19/2020,16836,791
Fiji,FJI,3/19/2020,1,
Finland,FIN,3/19/2020,64,
France,FRA,3/19/2020,1846,95
Gabon,GAB,3/19/2020,0,
Gambia,GMB,3/19/2020,0,
Georgia,GEO,3/19/2020,2,
Germany,DEU,3/19/2020,2993,16
Ghana,GHA,3/19/2020,4,
Greece,GRC,3/19/2020,0,1
Guatemala,GTM,3/19/2020,3,0
Guinea,GIN,3/19/2020,0,
Guyana,GUY,3/19/2020,0,0
High income,,3/19/2020,24498,930
Honduras,HND,3/19/2020,3,
Hong Kong,HKG,3/19/2020,27,0
Hungary,HUN,3/19/2020,15,0
Iceland,ISL,3/19/2020,80,
India,IND,3/19/2020,38,1
Indonesia,IDN,3/19/2020,84,6
International,,3/19/2020,0,0
Iran,IRN,3/19/2020,1046,149
Iraq,IRQ,3/19/2020,28,1
Ireland,IRL,3/19/2020,265,1
Israel,ISR,3/19/2020,15,
Italy,ITA,3/19/2020,5322,427
Jamaica,JAM,3/19/2020,2,1
Japan,JPN,3/19/2020,40,1
Jordan,JOR,3/19/2020,17,
Kazakhstan,KAZ,3/19/2020,9,
Kenya,KEN,3/19/2020,4,
Kosovo,OWID_KOS,3/19/2020,1,
Kuwait,KWT,3/19/2020,6,
Kyrgyzstan,KGZ,3/19/2020,0,
Latvia,LVA,3/19/2020,15,
Lebanon,LBN,3/19/2020,24,1
Liberia,LBR,3/19/2020,0,
Liechtenstein,LIE,3/19/2020,0,
Lithuania,LTU,3/19/2020,9,
Low income,,3/19/2020,25,0
Lower middle income,,3/19/2020,278,3
Luxembourg,LUX,3/19/2020,132,2
Malaysia,MYS,3/19/2020,110,0
Maldives,MDV,3/19/2020,0,
Malta,MLT,3/19/2020,15,
Mauritania,MRT,3/19/2020,1,
Mauritius,MUS,3/19/2020,0,
Mexico,MEX,3/19/2020,46,1
Moldova,MDA,3/19/2020,19,0
Monaco,MCO,3/19/2020,0,
Mongolia,MNG,3/19/2020,0,
Montenegro,MNE,3/19/2020,1,
Morocco,MAR,3/19/2020,14,0
Namibia,NAM,3/19/2020,1,
Nepal,NPL,3/19/2020,0,
Netherlands,NLD,3/19/2020,409,19
New Zealand,NZL,3/19/2020,8,
Nicaragua,NIC,3/19/2020,1,
Nigeria,NGA,3/19/2020,0,
North America,,3/19/2020,4759,76
North Macedonia,MKD,3/19/2020,13,
Norway,NOR,3/19/2020,196,1
Oceania,,3/19/2020,122,0
Oman,OMN,3/19/2020,9,
Pakistan,PAK,3/19/2020,47,1
Palestine,PSE,3/19/2020,3,
Panama,PAN,3/19/2020,23,0
Paraguay,PRY,3/19/2020,0,
Peru,PER,3/19/2020,89,
Philippines,PHL,3/19/2020,15,-2
Poland,POL,3/19/2020,104,0
Portugal,PRT,3/19/2020,337,1
Qatar,QAT,3/19/2020,8,
Romania,ROU,3/19/2020,17,
Russia,RUS,3/19/2020,52,1
Rwanda,RWA,3/19/2020,0,
Saint Lucia,LCA,3/19/2020,0,
Saint Vincent and the Grenadines,VCT,3/19/2020,0,
San Marino,SMR,3/19/2020,0,0
Saudi Arabia,SAU,3/19/2020,103,
Senegal,SEN,3/19/2020,0,
Serbia,SRB,3/19/2020,20,
Seychelles,SYC,3/19/2020,2,
Singapore,SGP,3/19/2020,32,
Slovakia,SVK,3/19/2020,18,
Slovenia,SVN,3/19/2020,11,0
Somalia,SOM,3/19/2020,0,
South Africa,ZAF,3/19/2020,34,
South America,,3/19/2020,471,5
South Korea,KOR,3/19/2020,152,7
Spain,ESP,3/19/2020,4053,207
Sri Lanka,LKA,3/19/2020,9,
Sudan,SDN,3/19/2020,0,0
Suriname,SUR,3/19/2020,0,
Sweden,SWE,3/19/2020,143,9
Switzerland,CHE,3/19/2020,1047,13
Taiwan,TWN,3/19/2020,8,0
Tanzania,TZA,3/19/2020,3,
Thailand,THA,3/19/2020,60,0
Togo,TGO,3/19/2020,0,
Trinidad and Tobago,TTO,3/19/2020,2,
Tunisia,TUN,3/19/2020,10,1
Turkey,TUR,3/19/2020,94,2
Ukraine,UKR,3/19/2020,2,0
United Arab Emirates,ARE,3/19/2020,27,
United Kingdom,GBR,3/19/2020,1066,46
United States,USA,3/19/2020,4494,72
Upper middle income,,3/19/2020,2248,178
Uruguay,URY,3/19/2020,15,
Uzbekistan,UZB,3/19/2020,8,
Vatican,VAT,3/19/2020,0,
Venezuela,VEN,3/19/2020,6,
Vietnam,VNM,3/19/2020,10,
World,OWID_WRL,3/19/2020,27049,1111
World excl. China,,3/19/2020,27022,1103
World excl. China and South Korea,,3/19/2020,26870,1096
"World excl. China, South Korea, Japan and Singapore",,3/19/2020,26798,1095
Zambia,ZMB,3/19/2020,0,
Afghanistan,AFG,3/20/2020,4,
Africa,,3/20/2020,188,6
Albania,ALB,3/20/2020,6,0
Algeria,DZA,3/20/2020,3,2
Andorra,AND,3/20/2020,22,
Angola,AGO,3/20/2020,1,
Antigua and Barbuda,ATG,3/20/2020,0,
Argentina,ARG,3/20/2020,31,0
Armenia,ARM,3/20/2020,21,
Asia,,3/20/2020,2703,176
Asia excl. China,,3/20/2020,2657,172
Australia,AUS,3/20/2020,110,1
Austria,AUT,3/20/2020,375,0
Azerbaijan,AZE,3/20/2020,0,0
Bahamas,BHS,3/20/2020,0,
Bahrain,BHR,3/20/2020,7,0
Bangladesh,BGD,3/20/2020,3,0
Barbados,BRB,3/20/2020,0,
Belarus,BLR,3/20/2020,18,
Belgium,BEL,3/20/2020,462,16
Benin,BEN,3/20/2020,0,
Bhutan,BTN,3/20/2020,1,
Bolivia,BOL,3/20/2020,3,
Bosnia and Herzegovina,BIH,3/20/2020,26,
Brazil,BRA,3/20/2020,172,5
Brunei,BRN,3/20/2020,3,
Bulgaria,BGR,3/20/2020,33,0
Burkina Faso,BFA,3/20/2020,7,0
Cambodia,KHM,3/20/2020,14,
Cameroon,CMR,3/20/2020,7,
Canada,CAN,3/20/2020,143,4
Cape Verde,CPV,3/20/2020,1,
Central African Republic,CAF,3/20/2020,2,
Chad,TCD,3/20/2020,0,
Chile,CHL,3/20/2020,196,
China,CHN,3/20/2020,46,4
Colombia,COL,3/20/2020,50,
Congo,COG,3/20/2020,0,
Costa Rica,CRI,3/20/2020,20,0
Cote d'Ivoire,CIV,3/20/2020,0,
Croatia,HRV,3/20/2020,23,0
Cuba,CUB,3/20/2020,5,0
Cyprus,CYP,3/20/2020,0,
Czechia,CZE,3/20/2020,139,
Democratic Republic of Congo,COD,3/20/2020,4,
Denmark,DNK,3/20/2020,112,3
Djibouti,DJI,3/20/2020,0,
Dominican Republic,DOM,3/20/2020,38,0
Ecuador,ECU,3/20/2020,168,2
Egypt,EGY,3/20/2020,29,2
El Salvador,SLV,3/20/2020,0,
Equatorial Guinea,GNQ,3/20/2020,0,
Estonia,EST,3/20/2020,16,
Eswatini,SWZ,3/20/2020,0,
Ethiopia,ETH,3/20/2020,3,
Europe,,3/20/2020,20463,1182
European Union,,3/20/2020,17491,1132
Fiji,FJI,3/20/2020,0,
Finland,FIN,3/20/2020,50,
France,FRA,3/20/2020,1788,207
Gabon,GAB,3/20/2020,2,1
Gambia,GMB,3/20/2020,0,
Georgia,GEO,3/20/2020,3,
Germany,DEU,3/20/2020,4528,23
Ghana,GHA,3/20/2020,5,
Greece,GRC,3/20/2020,77,0
Guatemala,GTM,3/20/2020,3,0
Guinea,GIN,3/20/2020,0,
Guyana,GUY,3/20/2020,0,0
Haiti,HTI,3/20/2020,2,
High income,,3/20/2020,27713,1299
Honduras,HND,3/20/2020,12,
Hong Kong,HKG,3/20/2020,48,0
Hungary,HUN,3/20/2020,12,2
Iceland,ISL,3/20/2020,79,
India,IND,3/20/2020,50,1
Indonesia,IDN,3/20/2020,58,7
International,,3/20/2020,0,0
Iran,IRN,3/20/2020,1237,149
Iraq,IRQ,3/20/2020,16,4
Ireland,IRL,3/20/2020,126,0
Israel,ISR,3/20/2020,242,1
Italy,ITA,3/20/2020,5986,627
Jamaica,JAM,3/20/2020,1,0
Japan,JPN,3/20/2020,54,1
Jordan,JOR,3/20/2020,16,
Kazakhstan,KAZ,3/20/2020,5,
Kenya,KEN,3/20/2020,0,
Kosovo,OWID_KOS,3/20/2020,1,
Kuwait,KWT,3/20/2020,11,
Kyrgyzstan,KGZ,3/20/2020,3,
Latvia,LVA,3/20/2020,25,
Lebanon,LBN,3/20/2020,6,0
Liberia,LBR,3/20/2020,0,
Liechtenstein,LIE,3/20/2020,0,
Lithuania,LTU,3/20/2020,11,
Low income,,3/20/2020,43,0
Lower middle income,,3/20/2020,478,8
Luxembourg,LUX,3/20/2020,149,0
Madagascar,MDG,3/20/2020,3,
Malaysia,MYS,3/20/2020,130,1
Maldives,MDV,3/20/2020,0,
Malta,MLT,3/20/2020,11,
Mauritania,MRT,3/20/2020,0,
Mauritius,MUS,3/20/2020,9,
Mexico,MEX,3/20/2020,39,1
Moldova,MDA,3/20/2020,17,0
Monaco,MCO,3/20/2020,4,
Mongolia,MNG,3/20/2020,0,
Montenegro,MNE,3/20/2020,11,
Morocco,MAR,3/20/2020,14,1
Namibia,NAM,3/20/2020,0,
Nepal,NPL,3/20/2020,0,
Netherlands,NLD,3/20/2020,536,30
New Zealand,NZL,3/20/2020,11,
Nicaragua,NIC,3/20/2020,0,
Niger,NER,3/20/2020,1,
Nigeria,NGA,3/20/2020,4,
North America,,3/20/2020,6658,111
North Macedonia,MKD,3/20/2020,19,
Norway,NOR,3/20/2020,168,0
Oceania,,3/20/2020,122,1
Oman,OMN,3/20/2020,0,
Pakistan,PAK,3/20/2020,229,0
Palestine,PSE,3/20/2020,3,
Panama,PAN,3/20/2020,28,0
Papua New Guinea,PNG,3/20/2020,1,
Paraguay,PRY,3/20/2020,2,
Peru,PER,3/20/2020,0,3
Philippines,PHL,3/20/2020,13,1
Poland,POL,3/20/2020,70,0
Portugal,PRT,3/20/2020,235,3
Qatar,QAT,3/20/2020,10,
Romania,ROU,3/20/2020,31,
Russia,RUS,3/20/2020,54,0
Rwanda,RWA,3/20/2020,9,
Saint Lucia,LCA,3/20/2020,0,
Saint Vincent and the Grenadines,VCT,3/20/2020,0,
San Marino,SMR,3/20/2020,25,3
Saudi Arabia,SAU,3/20/2020,70,
Senegal,SEN,3/20/2020,7,
Serbia,SRB,3/20/2020,32,1
Seychelles,SYC,3/20/2020,1,
Singapore,SGP,3/20/2020,40,
Slovakia,SVK,3/20/2020,14,
Slovenia,SVN,3/20/2020,55,0
Somalia,SOM,3/20/2020,0,
South Africa,ZAF,3/20/2020,52,
South America,,3/20/2020,641,10
South Korea,KOR,3/20/2020,87,3
Spain,ESP,3/20/2020,2447,213
Sri Lanka,LKA,3/20/2020,13,
Sudan,SDN,3/20/2020,0,0
Suriname,SUR,3/20/2020,3,
Sweden,SWE,3/20/2020,180,8
Switzerland,CHE,3/20/2020,1219,13
Taiwan,TWN,3/20/2020,27,1
Tanzania,TZA,3/20/2020,0,
Thailand,THA,3/20/2020,50,0
Togo,TGO,3/20/2020,8,
Trinidad and Tobago,TTO,3/20/2020,0,
Tunisia,TUN,3/20/2020,15,0
Turkey,TUR,3/20/2020,167,1
Ukraine,UKR,3/20/2020,13,1
United Arab Emirates,ARE,3/20/2020,0,2
United Kingdom,GBR,3/20/2020,1258,32
United States,USA,3/20/2020,6367,106
Upper middle income,,3/20/2020,2541,179
Uruguay,URY,3/20/2020,16,
Uzbekistan,UZB,3/20/2020,10,
Vatican,VAT,3/20/2020,0,
Venezuela,VEN,3/20/2020,0,
Vietnam,VNM,3/20/2020,6,
World,OWID_WRL,3/20/2020,30775,1486
World excl. China,,3/20/2020,30729,1482
World excl. China and South Korea,,3/20/2020,30642,1479
"World excl. China, South Korea, Japan and Singapore",,3/20/2020,30548,1478
Zambia,ZMB,3/20/2020,0,
Zimbabwe,ZWE,3/20/2020,1,
Afghanistan,AFG,3/21/2020,1,
Africa,,3/21/2020,204,10
Albania,ALB,3/21/2020,6,0
Algeria,DZA,3/21/2020,49,4
Andorra,AND,3/21/2020,13,
Angola,AGO,3/21/2020,1,
Antigua and Barbuda,ATG,3/21/2020,0,
Argentina,ARG,3/21/2020,30,1
Armenia,ARM,3/21/2020,24,
Asia,,3/21/2020,2557,156
Asia excl. China,,3/21/2020,2519,150
Australia,AUS,3/21/2020,280,0
Austria,AUT,3/21/2020,426,2
Azerbaijan,AZE,3/21/2020,9,0
Bahamas,BHS,3/21/2020,1,
Bahrain,BHR,3/21/2020,20,0
Bangladesh,BGD,3/21/2020,5,1
Barbados,BRB,3/21/2020,1,
Belarus,BLR,3/21/2020,7,
Belgium,BEL,3/21/2020,558,30
Benin,BEN,3/21/2020,0,
Bhutan,BTN,3/21/2020,0,
Bolivia,BOL,3/21/2020,4,
Bosnia and Herzegovina,BIH,3/21/2020,4,1
Brazil,BRA,3/21/2020,228,4
Brunei,BRN,3/21/2020,5,
Bulgaria,BGR,3/21/2020,36,0
Burkina Faso,BFA,3/21/2020,24,1
Cambodia,KHM,3/21/2020,2,
Cameroon,CMR,3/21/2020,7,
Canada,CAN,3/21/2020,334,4
Cape Verde,CPV,3/21/2020,2,
Central African Republic,CAF,3/21/2020,0,
Chad,TCD,3/21/2020,0,
Chile,CHL,3/21/2020,131,
China,CHN,3/21/2020,38,6
