Entity,Code,Day,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19
Hong Kong,HKG,1/28/2020,0,
Japan,JPN,1/28/2020,3,
Lower middle income,,1/28/2020,0,0
Malaysia,MYS,1/28/2020,0,
Nepal,NPL,1/28/2020,0,
North America,,1/28/2020,1,0
Oceania,,1/28/2020,0,0
Singapore,SGP,1/28/2020,2,
South Korea,KOR,1/28/2020,0,
Sri Lanka,LKA,1/28/2020,0,
Taiwan,TWN,1/28/2020,3,
Thailand,THA,1/28/2020,6,
United States,USA,1/28/2020,0,
Upper middle income,,1/28/2020,2638,49
Vietnam,VNM,1/28/2020,0,
World,OWID_WRL,1/28/2020,2651,49
World excl. China,,1/28/2020,19,0
World excl. China and South Korea,,1/28/2020,19,0
"World excl. China, South Korea, Japan and Singapore",,1/28/2020,14,0
Asia,,1/29/2020,585,2
Asia excl. China,,1/29/2020,9,0
Australia,AUS,1/29/2020,1,
Cambodia,KHM,1/29/2020,0,
Canada,CAN,1/29/2020,0,
China,CHN,1/29/2020,576,2
Europe,,1/29/2020,2,0
European Union,,1/29/2020,2,0
Finland,FIN,1/29/2020,1,
France,FRA,1/29/2020,1,
Germany,DEU,1/29/2020,0,
High income,,1/29/2020,10,0
Hong Kong,HKG,1/29/2020,2,
Japan,JPN,1/29/2020,0,
Lower middle income,,1/29/2020,0,0
Malaysia,MYS,1/29/2020,3,
Nepal,NPL,1/29/2020,0,
North America,,1/29/2020,1,0
Oceania,,1/29/2020,1,0
Singapore,SGP,1/29/2020,0,
South Korea,KOR,1/29/2020,0,
Sri Lanka,LKA,1/29/2020,0,
Taiwan,TWN,1/29/2020,0,
Thailand,THA,1/29/2020,0,
United Arab Emirates,ARE,1/29/2020,4,
United States,USA,1/29/2020,1,
Upper middle income,,1/29/2020,579,2
Vietnam,VNM,1/29/2020,0,
World,OWID_WRL,1/29/2020,589,2
World excl. China,,1/29/2020,13,0
World excl. China and South Korea,,1/29/2020,13,0
"World excl. China, South Korea, Japan and Singapore",,1/29/2020,13,0
Asia,,1/30/2020,2065,38
Asia excl. China,,1/30/2020,11,0
Australia,AUS,1/30/2020,3,
Cambodia,KHM,1/30/2020,0,
Canada,CAN,1/30/2020,0,
China,CHN,1/30/2020,2054,38
Europe,,1/30/2020,0,0
European Union,,1/30/2020,0,0
Finland,FIN,1/30/2020,0,
France,FRA,1/30/2020,0,
Germany,DEU,1/30/2020,0,
High income,,1/30/2020,11,0
Hong Kong,HKG,1/30/2020,0,
India,IND,1/30/2020,1,
Japan,JPN,1/30/2020,4,
Lower middle income,,1/30/2020,2,0
Malaysia,MYS,1/30/2020,1,
Nepal,NPL,1/30/2020,0,
North America,,1/30/2020,0,0
Oceania,,1/30/2020,3,0
Philippines,PHL,1/30/2020,1,
Singapore,SGP,1/30/2020,3,
South Korea,KOR,1/30/2020,0,
Sri Lanka,LKA,1/30/2020,0,
Taiwan,TWN,1/30/2020,1,
Thailand,THA,1/30/2020,0,
United Arab Emirates,ARE,1/30/2020,0,
United States,USA,1/30/2020,0,
Upper middle income,,1/30/2020,2055,38
Vietnam,VNM,1/30/2020,0,
World,OWID_WRL,1/30/2020,2068,38
World excl. China,,1/30/2020,14,0
World excl. China and South Korea,,1/30/2020,14,0
"World excl. China, South Korea, Japan and Singapore",,1/30/2020,7,0
Asia,,1/31/2020,1681,42
Asia excl. China,,1/31/2020,22,0
Australia,AUS,1/31/2020,0,
Cambodia,KHM,1/31/2020,0,
Canada,CAN,1/31/2020,2,
China,CHN,1/31/2020,1659,42
Europe,,1/31/2020,7,0
European Union,,1/31/2020,3,0
Finland,FIN,1/31/2020,0,
France,FRA,1/31/2020,0,
Germany,DEU,1/31/2020,1,
High income,,1/31/2020,26,0
Hong Kong,HKG,1/31/2020,2,
India,IND,1/31/2020,0,
Italy,ITA,1/31/2020,2,
Japan,JPN,1/31/2020,4,
Lower middle income,,1/31/2020,0,0
Malaysia,MYS,1/31/2020,0,
Nepal,NPL,1/31/2020,0,
North America,,1/31/2020,4,0
Oceania,,1/31/2020,0,0
Philippines,PHL,1/31/2020,0,
Russia,RUS,1/31/2020,2,
Singapore,SGP,1/31/2020,3,
South Korea,KOR,1/31/2020,7,
Sri Lanka,LKA,1/31/2020,0,
Taiwan,TWN,1/31/2020,1,
Thailand,THA,1/31/2020,5,
United Arab Emirates,ARE,1/31/2020,0,
United Kingdom,GBR,1/31/2020,2,
United States,USA,1/31/2020,2,
Upper middle income,,1/31/2020,1666,42
Vietnam,VNM,1/31/2020,0,
World,OWID_WRL,1/31/2020,1692,42
World excl. China,,1/31/2020,33,0
World excl. China and South Korea,,1/31/2020,26,0
"World excl. China, South Korea, Japan and Singapore",,1/31/2020,19,0
Asia,,2/1/2020,2102,46
Asia excl. China,,2/1/2020,14,0
Australia,AUS,2/1/2020,3,
Cambodia,KHM,2/1/2020,0,
Canada,CAN,2/1/2020,0,
China,CHN,2/1/2020,2088,46
Europe,,2/1/2020,6,0
European Union,,2/1/2020,6,0
